2025-06-28T20:27:37.116599 | 7 RS 003700086358 24.94X | 7 RS 003700086358 24.94X
2025-06-28T20:27:37.116674 | BRNMSANML004400000379F 1.48N | BRNMSANML004400000379F 1.48N
2025-06-28T20:27:37.116745 | PATROL077898806441 6.97X | PATROL077898806441 6.97X
2025-06-28T20:42:28.496523 | YEAST | af YEAST 006421700742$4.97D
2025-06-28T20:42:58.884514 | DRUMSTICKKKO05500038382$4,.87J ui | DRUMSTICKKKO05500038382$4,.87J ui
2025-06-28T20:50:41.859023 | SMILES 006577300073..$2.47D | SMILES 006577300073..$2.47D
2025-06-28T20:50:42.472247 | YEAST | af YEAST 006421700742$4.97D
2025-06-28T20:50:43.496752 | DRUMSTICKKKO05500038382$4,.87J ui | DRUMSTICKKKO05500038382$4,.87J ui
2025-06-28T21:02:15.009576 | SMILES 006577300073..$2.47D | SMILES 006577300073..$2.47D
2025-06-28T21:02:15.519121 | YEAST | af YEAST 006421700742$4.97D
2025-06-28T21:02:16.545407 | DRUMSTICKKKO05500038382$4,.87J ui | DRUMSTICKKKO05500038382$4,.87J ui
2025-06-28T21:08:30.410068 | SMILES 006577300073..$2.47D | SMILES 006577300073..$2.47D
2025-06-28T21:08:31.227333 | xy POTWHT7RST003338345485 $5.97D , | xy POTWHT7RST003338345485 $5.97D ,
2025-06-28T21:39:13.354374 | SMILES 006577300073..$2.47D | SMILES 006577300073..$2.47D
2025-06-28T21:39:14.098553 | xy POTWHT7RST003338345485 $5.97D , | xy POTWHT7RST003338345485 $5.97D ,
2025-06-28T21:53:46.238993 | .,SMILES 006577300073,$2.47D | .,SMILES 006577300073,$2.47D
2025-06-28T21:53:47.057436 | s. POTWHTRST003338345485 $6.97D | s. POTWHTRST003338345485 $6.97D
2025-06-28T21:53:47.484555 | af DRUMSTICKKKOOBS00038S82$4.87J i | af DRUMSTICKKKOOBS00038S82$4.87J i
2025-06-28T21:56:35.096481 | .,SMILES 006577300073,$2.47D | .,SMILES 006577300073,$2.47D
2025-06-28T21:56:35.860224 | s. POTWHTRST003338345485 $6.97D | s. POTWHTRST003338345485 $6.97D
2025-06-28T21:56:36.425719 | af DRUMSTICKKKOOBS00038S82$4.87J i | af DRUMSTICKKKOOBS00038S82$4.87J i
2025-06-28T22:03:23.259927 | .,SMILES 006577300073,$2.47D | .,SMILES 006577300073,$2.47D
2025-06-28T22:03:24.034117 | s. POTWHTRST003338345485 $6.97D | s. POTWHTRST003338345485 $6.97D
2025-06-28T22:03:24.488826 | af DRUMSTICKKKOOBS00038S82$4.87J i | af DRUMSTICKKKOOBS00038S82$4.87J i
2025-06-28T22:03:46.007744 | COH3PCSET088861018239 9.44% | COH3PCSET088861018239 9.44%
2025-06-28T22:03:46.375501 | COH3PKBDS088614999361 7.24% | COH3PKBDS088614999361 7.24%
2025-06-28T22:03:46.809734 | COMBDS 088614999362 1.24% | COMBDS 088614999362 1.24%
2025-06-28T22:03:47.217281 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T22:03:47.580418 | COH2PKHATR007163412962 4.97% | COH2PKHATR007163412962 4.97%
2025-06-28T22:03:48.039914 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T22:03:48.447231 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T22:03:48.857561 | COM4PKSOCK007153413048 4.97X | COM4PKSOCK007153413048 4.97X
2025-06-28T22:03:49.267403 | 1POPUGOf3004721376373 2.00X | 1POPUGOf3004721376373 2.00X
2025-06-28T22:03:49.676731 | . RS. 003700086358 24.94X | . RS. 003700086358 24.94X
2025-06-28T22:03:50.047404 | DRNMISANML004400000379F 1.488 | DRNMISANML004400000379F 1.488
2025-06-28T22:03:50.494187 | PATRA077898806441 6.97X | PATRA077898806441 6.97X
2025-06-28T22:03:50.494349 | COH3PCSET088861018239 9.44% | COH3PCSET088861018239 9.44%
2025-06-28T22:03:50.494609 | COH3PKBDS088614999361 7.24% | COH3PKBDS088614999361 7.24%
2025-06-28T22:03:50.494671 | COMBDS 088614999362 1.24% | COMBDS 088614999362 1.24%
2025-06-28T22:03:50.494720 | DRSMITHS 030178033003 T.97N | DRSMITHS 030178033003 T.97N
2025-06-28T22:03:50.494772 | COH2PKHATR007163412962 4.97% | COH2PKHATR007163412962 4.97%
2025-06-28T22:03:50.494822 | BABYWIPES003700087095 1.97X | BABYWIPES003700087095 1.97X
2025-06-28T22:03:50.494865 | COM4PKSOCK007153413049 4.97% | COM4PKSOCK007153413049 4.97%
2025-06-28T22:03:50.494926 | COM4PKSOCK007153413048 4.97X | COM4PKSOCK007153413048 4.97X
2025-06-28T22:03:50.494969 | 1POPUGOf3004721376373 2.00X | 1POPUGOf3004721376373 2.00X
2025-06-28T22:03:50.495013 | . RS. 003700086358 24.94X | . RS. 003700086358 24.94X
